City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,shalkar,47.8288,59.6258,31.74,32,5,10.34,KZ,1689491288
114,college,64.8569,-147.8028,16.44,87,75,2.06,US,1689491289
115,quelimane,-17.8786,36.8883,21.59,66,0,1.91,MZ,1689491289
116,tecumseh,42.0039,-83.9449,19.74,93,20,1.54,US,1689491289
117,ad-damazin,11.7891,34.3592,26.14,65,73,1.68,SD,1689491290
118,saint-philippe,-21.3585,55.7679,22.77,86,91,7.09,RE,1689491290
119,sinabang,2.4803,96.3801,28.59,73,100,1.71,ID,1689491290
120,plymouth,41.8334,-70.8328,25.12,87,100,4.12,US,1689491291
121,acarau,-2.8856,-40.12,24.38,88,5,6.07,BR,1689491291
122,levuka,50.1834,-105.4011,12.45,77,67,2.61,CA,1689491292
123,kodiak,57.79,-152.4072,11.73,94,100,4.63,US,1689491124
124,port blair,11.6667,92.75,30.02,74,40,5.14,IN,1689491292
125,karasburg,-28.0167,18.75,12.72,37,0,2.7,NA,1689491292
126,nar'yan-mar,67.6713,53.087,24.01,45,15,3.68,RU,1689491293
127,invercargill,-46.4,168.35,7.22,78,79,5.19,NZ,1689490998
128,kimberley,-28.7323,24.7623,9.83,53,0,2.06,ZA,1689491293
129,qaqortoq,60.7167,-46.0333,5.98,95,100,1.87,GL,1689491293
130,constantia,44.1833,28.65,29.28,48,0,2.26,RO,1689491135
131,nogliki,51.8333,143.1667,13.17,80,100,4.03,RU,1689491294
132,poronaysk,49.2167,143.1167,15.81,78,100,5.37,RU,1689491294
133,gunjur,13.2019,-16.7339,25.04,94,75,0.0,GM,1689491295
134,aigio,38.2486,22.0819,34.01,45,0,3.75,GR,1689491295
135,el granada,37.5027,-122.4694,22.8,87,100,6.17,US,1689491295
136,magadan,59.5667,150.8,19.74,75,13,3.69,RU,1689491229
137,berezovyy,51.6667,135.7,25.82,42,100,2.94,RU,1689491296
138,iqaluit,63.7506,-68.5145,4.5,96,94,0.52,CA,1689491296
139,flin flon,54.7682,-101.865,9.75,94,100,2.46,CA,1689490826
140,thayetmyo,19.3167,95.1833,33.66,48,58,4.78,MM,1689491297
141,nagqu,31.5,92.0,16.25,38,92,5.17,CN,1689491297
142,broken hill,-31.95,141.4333,12.68,49,0,5.44,AU,1689491297
143,alta,69.9689,23.2717,11.77,87,100,2.57,NO,1689491297
144,yonggwang-up,40.0183,127.4547,30.86,50,100,2.73,KP,1689491298
145,inari,68.906,27.0288,17.11,47,0,6.26,FI,1689491298
146,bardai,11.65,7.2333,25.41,64,43,1.71,NG,1689491298
147,dunedin,-45.8742,170.5036,8.78,62,100,0.89,NZ,1689491298
148,sechura,-5.5569,-80.8222,22.21,80,24,4.26,PE,1689491299
149,brisas de zicatela,15.8369,-97.0419,26.64,82,100,2.05,MX,1689491299
150,villers-le-bouillet,50.5771,5.2595,18.18,67,20,10.29,BE,1689491299
151,howard springs,-12.497,131.047,30.95,32,73,0.19,AU,1689491299
152,norton shores,43.1689,-86.2639,19.58,79,0,0.0,US,1689491300
153,san clemente,33.427,-117.612,25.61,91,100,0.89,US,1689491290
154,arraial do cabo,-22.9661,-42.0278,19.72,79,0,7.97,BR,1689491300
155,ugoofaaru,5.6667,73.0,28.51,74,79,4.91,MV,1689491301
156,massakory,12.996,15.7293,30.4,48,99,4.45,TD,1689491301
157,hadibu,12.65,54.0333,26.58,75,38,12.94,YE,1689491301
158,taltal,-25.4,-70.4833,14.81,82,100,2.89,CL,1689490821
159,sandnessjoen,66.0217,12.6316,18.29,70,100,7.46,NO,1689491302
160,playa del ingles,27.7567,-15.5787,23.0,79,4,6.21,ES,1689491302
161,yuzhno-kurilsk,44.0306,145.8556,13.9,93,100,2.19,RU,1689491302
162,baiti,13.745,-14.7482,24.31,85,99,2.81,SN,1689491302
